BIP39 dice table -- throw 5d6, read left to right    page 1 of 45
1632 of 7776 throws say (reroll)  this page: 1-1-1-1-1 .. 1-1-5-5-6

1-1-1-1-1  abandon     1-1-2-4-5  also        1-1-4-2-3  attend
3-2-6-1-3  into        3-3-1-5-1  laptop      3-3-3-2-5  lounge
3-2-6-1-4  invest      3-3-1-5-2  large       3-3-3-2-6  love
3-2-6-1-5  invite      3-3-1-5-3  later       3-3-3-3-1  loyal
3-2-6-1-6  involve     3-3-1-5-4  latin       3-3-3-3-2  lucky
3-2-6-2-1  iron        3-3-1-5-5  laugh       3-3-3-3-3  luggage
3-2-6-2-2  island      3-3-1-5-6  laundry     3-3-3-3-4  lumber
3-2-6-2-3  isolate     3-3-1-6-1  lava        3-3-3-3-5  lunar
3-2-6-2-4  issue       3-3-1-6-2  law         3-3-3-3-6  lunch
3-2-6-2-5  item        3-3-1-6-3  lawn        3-3-3-4-1  luxury
3-2-6-2-6  ivory       3-3-1-6-4  lawsuit     3-3-3-4-2  lyrics
3-2-6-3-1  jacket      3-3-1-6-5  layer       3-3-3-4-3  machine
3-2-6-3-2  jaguar      3-3-1-6-6  lazy        3-3-3-4-4  mad
3-2-6-3-3  jar         3-3-2-1-1  leader      3-3-3-4-5  magic
3-2-6-3-4  jazz        3-3-2-1-2  leaf        3-3-3-4-6  magnet
3-2-6-3-5  jealous     3-3-2-1-3  learn       3-3-3-5-1  maid
3-2-6-3-6  jeans       3-3-2-1-4  leave       3-3-3-5-2  mail
3-2-6-4-1  jelly       3-3-2-1-5  lecture     3-3-3-5-3  main
3-2-6-4-2  jewel       3-3-2-1-6  left        3-3-3-5-4  major
3-2-6-4-3  job         3-3-2-2-1  leg         3-3-3-5-5  make
3-2-6-4-4  join        3-3-2-2-2  legal       3-3-3-5-6  mammal
3-2-6-4-5  joke        3-3-2-2-3  legend      3-3-3-6-1  man
3-2-6-4-6  journey     3-3-2-2-4  leisure     3-3-3-6-2  manage
3-2-6-5-1  joy         3-3-2-2-5  lemon       3-3-3-6-3  mandate
3-2-6-5-2  judge       3-3-2-2-6  lend        3-3-3-6-4  mango
3-2-6-5-3  juice       3-3-2-3-1  length      3-3-3-6-5  mansion
3-2-6-5-4  jump        3-3-2-3-2  lens        3-3-3-6-6  manual

BIP39 dice table -- throw 5d6, read left to right   page 19 of 45
1632 of 7776 throws say (reroll)  this page: 3-3-4-1-1 .. 3-4-2-5-6

3-3-4-1-1  maple       3-3-5-4-5  mom         3-4-1-2-3  noodle
3-3-4-1-2  marble      3-3-5-4-6  moment      3-4-1-2-4  normal
3-3-4-1-3  march       3-3-5-5-1  monitor     3-4-1-2-5  north
3-3-4-1-4  margin      3-3-5-5-2  monkey      3-4-1-2-6  nose
3-3-4-1-5  marine      3-3-5-5-3  monster     3-4-1-3-1  notable
3-3-4-1-6  market      3-3-5-5-4  month       3-4-1-3-2  note
3-3-4-2-1  marriage    3-3-5-5-5  moon        3-4-1-3-3  nothing
3-3-4-2-2  mask        3-3-5-5-6  moral       3-4-1-3-4  notice
3-3-4-2-3  mass        3-3-5-6-1  more        3-4-1-3-5  novel
3-3-4-2-4  master      3-3-5-6-2  morning     3-4-1-3-6  now
3-3-4-2-5  match       3-3-5-6-3  mosquito    3-4-1-4-1  nuclear
3-3-4-2-6  material    3-3-5-6-4  mother      3-4-1-4-2  number
3-3-4-3-1  math        3-3-5-6-5  motion      3-4-1-4-3  nurse
3-3-4-3-2  matrix      3-3-5-6-6  motor       3-4-1-4-4  nut
3-3-4-3-3  matter      3-3-6-1-1  mountain    3-4-1-4-5  oak
3-3-4-3-4  maximum     3-3-6-1-2  mouse       3-4-1-4-6  obey
3-3-4-3-5  maze        3-3-6-1-3  move        3-4-1-5-1  object
3-3-4-3-6  meadow      3-3-6-1-4  movie       3-4-1-5-2  oblige
3-3-4-4-1  mean        3-3-6-1-5  much        3-4-1-5-3  obscure
3-3-4-4-2  measure     3-3-6-1-6  muffin      3-4-1-5-4  observe
3-3-4-4-3  meat        3-3-6-2-1  mule        3-4-1-5-5  obtain
3-3-4-4-4  mechanic    3-3-6-2-2  multiply    3-4-1-5-6  obvious
3-3-4-4-5  medal       3-3-6-2-3  muscle      3-4-1-6-1  occur
3-3-4-4-6  media       3-3-6-2-4  museum      3-4-1-6-2  ocean
3-3-4-5-1  melody      3-3-6-2-5  mushroom    3-4-1-6-3  october
3-3-4-5-2  melt        3-3-6-2-6  music       3-4-1-6-4  odor
3-3-4-5-3  member      3-3-6-3-1  must        3-4-1-6-5  off
3-3-4-5-4  memory      3-3-6-3-2  mutual      3-4-1-6-6  offer
3-3-4-5-5  mention     3-3-6-3-3  myself      3-4-2-1-1  office
3-3-4-5-6  menu        3-3-6-3-4  mystery     3-4-2-1-2  often
3-3-4-6-1  mercy       3-3-6-3-5  myth        3-4-2-1-3  oil
3-3-4-6-2  merge       3-3-6-3-6  naive       3-4-2-1-4  okay
3-3-4-6-3  merit       3-3-6-4-1  name        3-4-2-1-5  old
3-3-4-6-4  merry       3-3-6-4-2  napkin      3-4-2-1-6  olive
3-3-4-6-5  mesh        3-3-6-4-3  narrow      3-4-2-2-1  olympic
3-3-4-6-6  message     3-3-6-4-4  nasty       3-4-2-2-2  omit
3-3-5-1-1  metal       3-3-6-4-5  nation      3-4-2-2-3  once
3-3-5-1-2  method      3-3-6-4-6  nature      3-4-2-2-4  one
3-3-5-1-3  middle      3-3-6-5-1  near        3-4-2-2-5  onion
3-3-5-1-4  midnight    3-3-6-5-2  neck        3-4-2-2-6  online
3-3-5-1-5  milk        3-3-6-5-3  need        3-4-2-3-1  only
3-3-5-1-6  million     3-3-6-5-4  negative    3-4-2-3-2  open
3-3-5-2-1  mimic       3-3-6-5-5  neglect     3-4-2-3-3  opera
3-3-5-2-2  mind        3-3-6-5-6  neither     3-4-2-3-4  opinion
3-3-5-2-3  minimum     3-3-6-6-1  nephew      3-4-2-3-5  oppose
3-3-5-2-4  minor       3-3-6-6-2  nerve       3-4-2-3-6  option
3-3-5-2-5  minute      3-3-6-6-3  nest        3-4-2-4-1  orange
3-3-5-2-6  miracle     3-3-6-6-4  net         3-4-2-4-2  orbit
3-3-5-3-1  mirror      3-3-6-6-5  network     3-4-2-4-3  orchard
3-3-5-3-2  misery      3-3-6-6-6  neutral     3-4-2-4-4  order
3-3-5-3-3  miss        3-4-1-1-1  never       3-4-2-4-5  ordinary
3-3-5-3-4  mistake     3-4-1-1-2  news        3-4-2-4-6  organ
3-3-5-3-5  mix         3-4-1-1-3  next        3-4-2-5-1  orient
3-3-5-3-6  mixed       3-4-1-1-4  nice        3-4-2-5-2  original
3-3-5-4-1  mixture     3-4-1-1-5  night       3-4-2-5-3  orphan
3-3-5-4-2  mobile      3-4-1-1-6  noble       3-4-2-5-4  ostrich
3-3-5-4-3  model       3-4-1-2-1  noise       3-4-2-5-5  other
3-3-5-4-4  modify      3-4-1-2-2  nominee     3-4-2-5-6  outdoor

BIP39 dice table -- throw 5d6, read left to right   page 20 of 45
1632 of 7776 throws say (reroll)  this page: 3-4-2-6-1 .. 3-5-1-4-6

3-4-2-6-1  outer       3-4-4-3-5  pig         3-4-6-1-3  profit
3-4-2-6-2  output      3-4-4-3-6  pigeon      3-4-6-1-4  program
3-4-2-6-3  outside     3-4-4-4-1  pill        3-4-6-1-5  project
3-4-2-6-4  oval        3-4-4-4-2  pilot       3-4-6-1-6  promote
3-4-2-6-5  oven        3-4-4-4-3  pink        3-4-6-2-1  proof
3-4-2-6-6  over        3-4-4-4-4  pioneer     3-4-6-2-2  property
3-4-3-1-1  own         3-4-4-4-5  pipe        3-4-6-2-3  prosper
3-4-3-1-2  owner       3-4-4-4-6  pistol      3-4-6-2-4  protect
3-4-3-1-3  oxygen      3-4-4-5-1  pitch       3-4-6-2-5  proud
3-4-3-1-4  oyster      3-4-4-5-2  pizza       3-4-6-2-6  provide
3-4-3-1-5  ozone       3-4-4-5-3  place       3-4-6-3-1  public
3-4-3-1-6  pact        3-4-4-5-4  planet      3-4-6-3-2  pudding
3-4-3-2-1  paddle      3-4-4-5-5  plastic     3-4-6-3-3  pull
3-4-3-2-2  page        3-4-4-5-6  plate       3-4-6-3-4  pulp
3-4-3-2-3  pair        3-4-4-6-1  play        3-4-6-3-5  pulse
3-4-3-2-4  palace      3-4-4-6-2  please      3-4-6-3-6  pumpkin
3-4-3-2-5  palm        3-4-4-6-3  pledge      3-4-6-4-1  punch
3-4-3-2-6  panda       3-4-4-6-4  pluck       3-4-6-4-2  pupil
3-4-3-3-1  panel       3-4-4-6-5  plug        3-4-6-4-3  puppy
3-4-3-3-2  panic       3-4-4-6-6  plunge      3-4-6-4-4  purchase
3-4-3-3-3  panther     3-4-5-1-1  poem        3-4-6-4-5  purity
3-4-3-3-4  paper       3-4-5-1-2  poet        3-4-6-4-6  purpose
3-4-3-3-5  parade      3-4-5-1-3  point       3-4-6-5-1  purse
3-4-3-3-6  parent      3-4-5-1-4  polar       3-4-6-5-2  push
3-4-3-4-1  park        3-4-5-1-5  pole        3-4-6-5-3  put
3-4-3-4-2  parrot      3-4-5-1-6  police      3-4-6-5-4  puzzle
3-4-3-4-3  party       3-4-5-2-1  pond        3-4-6-5-5  pyramid
3-4-3-4-4  pass        3-4-5-2-2  pony        3-4-6-5-6  quality
3-4-3-4-5  patch       3-4-5-2-3  pool        3-4-6-6-1  quantum
3-4-3-4-6  path        3-4-5-2-4  popular     3-4-6-6-2  quarter
3-4-3-5-1  patient     3-4-5-2-5  portion     3-4-6-6-3  question
3-4-3-5-2  patrol      3-4-5-2-6  position    3-4-6-6-4  quick
3-4-3-5-3  pattern     3-4-5-3-1  possible    3-4-6-6-5  quit
3-4-3-5-4  pause       3-4-5-3-2  post        3-4-6-6-6  quiz
3-4-3-5-5  pave        3-4-5-3-3  potato      3-5-1-1-1  quote
3-4-3-5-6  payment     3-4-5-3-4  pottery     3-5-1-1-2  rabbit
3-4-3-6-1  peace       3-4-5-3-5  poverty     3-5-1-1-3  raccoon
3-4-3-6-2  peanut      3-4-5-3-6  powder      3-5-1-1-4  race
3-4-3-6-3  pear        3-4-5-4-1  power       3-5-1-1-5  rack
3-4-3-6-4  peasant     3-4-5-4-2  practice    3-5-1-1-6  radar
3-4-3-6-5  pelican     3-4-5-4-3  praise      3-5-1-2-1  radio
3-4-3-6-6  pen         3-4-5-4-4  predict     3-5-1-2-2  rail
3-4-4-1-1  penalty     3-4-5-4-5  prefer      3-5-1-2-3  rain
3-4-4-1-2  pencil      3-4-5-4-6  prepare     3-5-1-2-4  raise
3-4-4-1-3  people      3-4-5-5-1  present     3-5-1-2-5  rally
3-4-4-1-4  pepper      3-4-5-5-2  pretty      3-5-1-2-6  ramp
3-4-4-1-5  perfect     3-4-5-5-3  prevent     3-5-1-3-1  ranch
3-4-4-1-6  permit      3-4-5-5-4  price       3-5-1-3-2  random
3-4-4-2-1  person      3-4-5-5-5  pride       3-5-1-3-3  range
3-4-4-2-2  pet         3-4-5-5-6  primary     3-5-1-3-4  rapid
3-4-4-2-3  phone       3-4-5-6-1  print       3-5-1-3-5  rare
3-4-4-2-4  photo       3-4-5-6-2  priority    3-5-1-3-6  rate
3-4-4-2-5  phrase      3-4-5-6-3  prison      3-5-1-4-1  rather
3-4-4-2-6  physical    3-4-5-6-4  private     3-5-1-4-2  raven
3-4-4-3-1  piano       3-4-5-6-5  prize       3-5-1-4-3  raw
3-4-4-3-2  picnic      3-4-5-6-6  problem     3-5-1-4-4  razor
3-4-4-3-3  picture     3-4-6-1-1  process     3-5-1-4-5  ready
3-4-4-3-4  piece       3-4-6-1-2  produce     3-5-1-4-6  real

BIP39 dice table -- throw 5d6, read left to right   page 21 of 45
1632 of 7776 throws say (reroll)  this page: 3-5-1-5-1 .. 3-5-6-3-6

3-5-1-5-1  reason      3-5-3-2-5  ripple      3-5-4-6-3  screen
3-5-1-5-2  rebel       3-5-3-2-6  risk        3-5-4-6-4  script
3-5-1-5-3  rebuild     3-5-3-3-1  ritual      3-5-4-6-5  scrub
3-5-1-5-4  recall      3-5-3-3-2  rival       3-5-4-6-6  sea
3-5-1-5-5  receive     3-5-3-3-3  river       3-5-5-1-1  search
3-5-1-5-6  recipe      3-5-3-3-4  road        3-5-5-1-2  season
3-5-1-6-1  record      3-5-3-3-5  roast       3-5-5-1-3  seat
3-5-1-6-2  recycle     3-5-3-3-6  robot       3-5-5-1-4  second
3-5-1-6-3  reduce      3-5-3-4-1  robust      3-5-5-1-5  secret
3-5-1-6-4  reflect     3-5-3-4-2  rocket      3-5-5-1-6  section
3-5-1-6-5  reform      3-5-3-4-3  romance     3-5-5-2-1  security
3-5-1-6-6  refuse      3-5-3-4-4  roof        3-5-5-2-2  seed
3-5-2-1-1  region      3-5-3-4-5  rookie      3-5-5-2-3  seek
3-5-2-1-2  regret      3-5-3-4-6  room        3-5-5-2-4  segment
3-5-2-1-3  regular     3-5-3-5-1  rose        3-5-5-2-5  select
3-5-2-1-4  reject      3-5-3-5-2  rotate      3-5-5-2-6  sell
3-5-2-1-5  relax       3-5-3-5-3  rough       3-5-5-3-1  seminar
3-5-2-1-6  release     3-5-3-5-4  round       3-5-5-3-2  senior
3-5-2-2-1  relief      3-5-3-5-5  route       3-5-5-3-3  sense
3-5-2-2-2  rely        3-5-3-5-6  royal       3-5-5-3-4  sentence
3-5-2-2-3  remain      3-5-3-6-1  rubber      3-5-5-3-5  series
3-5-2-2-4  remember    3-5-3-6-2  rude        3-5-5-3-6  service
3-5-2-2-5  remind      3-5-3-6-3  rug         3-5-5-4-1  session
3-5-2-2-6  remove      3-5-3-6-4  rule        3-5-5-4-2  settle
3-5-2-3-1  render      3-5-3-6-5  run         3-5-5-4-3  setup
3-5-2-3-2  renew       3-5-3-6-6  runway      3-5-5-4-4  seven
3-5-2-3-3  rent        3-5-4-1-1  rural       3-5-5-4-5  shadow
3-5-2-3-4  reopen      3-5-4-1-2  sad         3-5-5-4-6  shaft
3-5-2-3-5  repair      3-5-4-1-3  saddle      3-5-5-5-1  shallow
3-5-2-3-6  repeat      3-5-4-1-4  sadness     3-5-5-5-2  share
3-5-2-4-1  replace     3-5-4-1-5  safe        3-5-5-5-3  shed
3-5-2-4-2  report      3-5-4-1-6  sail        3-5-5-5-4  shell
3-5-2-4-3  require     3-5-4-2-1  salad       3-5-5-5-5  sheriff
3-5-2-4-4  rescue      3-5-4-2-2  salmon      3-5-5-5-6  shield
3-5-2-4-5  resemble    3-5-4-2-3  salon       3-5-5-6-1  shift
3-5-2-4-6  resist      3-5-4-2-4  salt        3-5-5-6-2  shine
3-5-2-5-1  resource    3-5-4-2-5  salute      3-5-5-6-3  ship
3-5-2-5-2  response    3-5-4-2-6  same        3-5-5-6-4  shiver
3-5-2-5-3  result      3-5-4-3-1  sample      3-5-5-6-5  shock
3-5-2-5-4  retire      3-5-4-3-2  sand        3-5-5-6-6  shoe
3-5-2-5-5  retreat     3-5-4-3-3  satisfy     3-5-6-1-1  shoot
3-5-2-5-6  return      3-5-4-3-4  satoshi     3-5-6-1-2  shop
3-5-2-6-1  reunion     3-5-4-3-5  sauce       3-5-6-1-3  short
3-5-2-6-2  reveal      3-5-4-3-6  sausage     3-5-6-1-4  shoulder
3-5-2-6-3  review      3-5-4-4-1  save        3-5-6-1-5  shove
3-5-2-6-4  reward      3-5-4-4-2  say         3-5-6-1-6  shrimp
3-5-2-6-5  rhythm      3-5-4-4-3  scale       3-5-6-2-1  shrug
3-5-2-6-6  rib         3-5-4-4-4  scan        3-5-6-2-2  shuffle
3-5-3-1-1  ribbon      3-5-4-4-5  scare       3-5-6-2-3  shy
3-5-3-1-2  rice        3-5-4-4-6  scatter     3-5-6-2-4  sibling
3-5-3-1-3  rich        3-5-4-5-1  scene       3-5-6-2-5  sick
3-5-3-1-4  ride        3-5-4-5-2  scheme      3-5-6-2-6  side
3-5-3-1-5  ridge       3-5-4-5-3  school      3-5-6-3-1  siege
3-5-3-1-6  rifle       3-5-4-5-4  science     3-5-6-3-2  sight
3-5-3-2-1  right       3-5-4-5-5  scissors    3-5-6-3-3  sign
3-5-3-2-2  rigid       3-5-4-5-6  scorpion    3-5-6-3-4  silent
3-5-3-2-3  ring        3-5-4-6-1  scout       3-5-6-3-5  silk
3-5-3-2-4  riot        3-5-4-6-2  scrap       3-5-6-3-6  silly

BIP39 dice table -- throw 5d6, read left to right   page 22 of 45
1632 of 7776 throws say (reroll)  this page: 3-5-6-4-1 .. 3-6-5-2-6

3-5-6-4-1  silver      3-6-2-1-5  source      3-6-3-5-3  struggle
3-5-6-4-2  similar     3-6-2-1-6  south       3-6-3-5-4  student
3-5-6-4-3  simple      3-6-2-2-1  space       3-6-3-5-5  stuff
3-5-6-4-4  since       3-6-2-2-2  spare       3-6-3-5-6  stumble
3-5-6-4-5  sing        3-6-2-2-3  spatial     3-6-3-6-1  style
3-5-6-4-6  siren       3-6-2-2-4  spawn       3-6-3-6-2  subject
3-5-6-5-1  sister      3-6-2-2-5  speak       3-6-3-6-3  submit
3-5-6-5-2  situate     3-6-2-2-6  special     3-6-3-6-4  subway
3-5-6-5-3  six         3-6-2-3-1  speed       3-6-3-6-5  success
3-5-6-5-4  size        3-6-2-3-2  spell       3-6-3-6-6  such
3-5-6-5-5  skate       3-6-2-3-3  spend       3-6-4-1-1  sudden
3-5-6-5-6  sketch      3-6-2-3-4  sphere      3-6-4-1-2  suffer
3-5-6-6-1  ski         3-6-2-3-5  spice       3-6-4-1-3  sugar
3-5-6-6-2  skill       3-6-2-3-6  spider      3-6-4-1-4  suggest
3-5-6-6-3  skin        3-6-2-4-1  spike       3-6-4-1-5  suit
3-5-6-6-4  skirt       3-6-2-4-2  spin        3-6-4-1-6  summer
3-5-6-6-5  skull       3-6-2-4-3  spirit      3-6-4-2-1  sun
3-5-6-6-6  slab        3-6-2-4-4  split       3-6-4-2-2  sunny
3-6-1-1-1  slam        3-6-2-4-5  spoil       3-6-4-2-3  sunset
3-6-1-1-2  sleep       3-6-2-4-6  sponsor     3-6-4-2-4  super
3-6-1-1-3  slender     3-6-2-5-1  spoon       3-6-4-2-5  supply
3-6-1-1-4  slice       3-6-2-5-2  sport       3-6-4-2-6  supreme
3-6-1-1-5  slide       3-6-2-5-3  spot        3-6-4-3-1  sure
3-6-1-1-6  slight      3-6-2-5-4  spray       3-6-4-3-2  surface
3-6-1-2-1  slim        3-6-2-5-5  spread      3-6-4-3-3  surge
3-6-1-2-2  slogan      3-6-2-5-6  spring      3-6-4-3-4  surprise
3-6-1-2-3  slot        3-6-2-6-1  spy         3-6-4-3-5  surround
3-6-1-2-4  slow        3-6-2-6-2  square      3-6-4-3-6  survey
3-6-1-2-5  slush       3-6-2-6-3  squeeze     3-6-4-4-1  suspect
3-6-1-2-6  small       3-6-2-6-4  squirrel    3-6-4-4-2  sustain
3-6-1-3-1  smart       3-6-2-6-5  stable      3-6-4-4-3  swallow
3-6-1-3-2  smile       3-6-2-6-6  stadium     3-6-4-4-4  swamp
3-6-1-3-3  smoke       3-6-3-1-1  staff       3-6-4-4-5  swap
3-6-1-3-4  smooth      3-6-3-1-2  stage       3-6-4-4-6  swarm
3-6-1-3-5  snack       3-6-3-1-3  stairs      3-6-4-5-1  swear
3-6-1-3-6  snake       3-6-3-1-4  stamp       3-6-4-5-2  sweet
3-6-1-4-1  snap        3-6-3-1-5  stand       3-6-4-5-3  swift
3-6-1-4-2  sniff       3-6-3-1-6  start       3-6-4-5-4  swim
3-6-1-4-3  snow        3-6-3-2-1  state       3-6-4-5-5  swing
3-6-1-4-4  soap        3-6-3-2-2  stay        3-6-4-5-6  switch
3-6-1-4-5  soccer      3-6-3-2-3  steak       3-6-4-6-1  sword
3-6-1-4-6  social      3-6-3-2-4  steel       3-6-4-6-2  symbol
3-6-1-5-1  sock        3-6-3-2-5  stem        3-6-4-6-3  symptom
3-6-1-5-2  soda        3-6-3-2-6  step        3-6-4-6-4  syrup
3-6-1-5-3  soft        3-6-3-3-1  stereo      3-6-4-6-5  system
3-6-1-5-4  solar       3-6-3-3-2  stick       3-6-4-6-6  table
3-6-1-5-5  soldier     3-6-3-3-3  still       3-6-5-1-1  tackle
3-6-1-5-6  solid       3-6-3-3-4  sting       3-6-5-1-2  tag
3-6-1-6-1  solution    3-6-3-3-5  stock       3-6-5-1-3  tail
3-6-1-6-2  solve       3-6-3-3-6  stomach     3-6-5-1-4  talent
3-6-1-6-3  someone     3-6-3-4-1  stone       3-6-5-1-5  talk
3-6-1-6-4  song        3-6-3-4-2  stool       3-6-5-1-6  tank
3-6-1-6-5  soon        3-6-3-4-3  story       3-6-5-2-1  tape
3-6-1-6-6  sorry       3-6-3-4-4  stove       3-6-5-2-2  target
3-6-2-1-1  sort        3-6-3-4-5  strategy    3-6-5-2-3  task
3-6-2-1-2  soul        3-6-3-4-6  street      3-6-5-2-4  taste
3-6-2-1-3  sound       3-6-3-5-1  strike      3-6-5-2-5  tattoo
3-6-2-1-4  soup        3-6-3-5-2  strong      3-6-5-2-6  taxi

BIP39 dice table -- throw 5d6, read left to right   page 23 of 45
1632 of 7776 throws say (reroll)  this page: 3-6-5-3-1 .. 4-1-4-1-6

3-6-5-3-1  teach       3-6-6-6-5  total       4-1-2-4-3  unfair
3-6-5-3-2  team        3-6-6-6-6  tourist     4-1-2-4-4  unfold
3-6-5-3-3  tell        4-1-1-1-1  toward      4-1-2-4-5  unhappy
3-6-5-3-4  ten         4-1-1-1-2  tower       4-1-2-4-6  uniform
3-6-5-3-5  tenant      4-1-1-1-3  town        4-1-2-5-1  unique
3-6-5-3-6  tennis      4-1-1-1-4  toy         4-1-2-5-2  unit
3-6-5-4-1  tent        4-1-1-1-5  track       4-1-2-5-3  universe
3-6-5-4-2  term        4-1-1-1-6  trade       4-1-2-5-4  unknown
3-6-5-4-3  test        4-1-1-2-1  traffic     4-1-2-5-5  unlock
3-6-5-4-4  text        4-1-1-2-2  tragic      4-1-2-5-6  until
3-6-5-4-5  thank       4-1-1-2-3  train       4-1-2-6-1  unusual
3-6-5-4-6  that        4-1-1-2-4  transfer    4-1-2-6-2  unveil
3-6-5-5-1  theme       4-1-1-2-5  trap        4-1-2-6-3  update
3-6-5-5-2  then        4-1-1-2-6  trash       4-1-2-6-4  upgrade
3-6-5-5-3  theory      4-1-1-3-1  travel      4-1-2-6-5  uphold
3-6-5-5-4  there       4-1-1-3-2  tray        4-1-2-6-6  upon
3-6-5-5-5  they        4-1-1-3-3  treat       4-1-3-1-1  upper
3-6-5-5-6  thing       4-1-1-3-4  tree        4-1-3-1-2  upset
3-6-5-6-1  this        4-1-1-3-5  trend       4-1-3-1-3  urban
3-6-5-6-2  thought     4-1-1-3-6  trial       4-1-3-1-4  urge
3-6-5-6-3  three       4-1-1-4-1  tribe       4-1-3-1-5  usage
3-6-5-6-4  thrive      4-1-1-4-2  trick       4-1-3-1-6  use
3-6-5-6-5  throw       4-1-1-4-3  trigger     4-1-3-2-1  used
3-6-5-6-6  thumb       4-1-1-4-4  trim        4-1-3-2-2  useful
3-6-6-1-1  thunder     4-1-1-4-5  trip        4-1-3-2-3  useless
3-6-6-1-2  ticket      4-1-1-4-6  trophy      4-1-3-2-4  usual
3-6-6-1-3  tide        4-1-1-5-1  trouble     4-1-3-2-5  utility
3-6-6-1-4  tiger       4-1-1-5-2  truck       4-1-3-2-6  vacant
3-6-6-1-5  tilt        4-1-1-5-3  true        4-1-3-3-1  vacuum
3-6-6-1-6  timber      4-1-1-5-4  truly       4-1-3-3-2  vague
3-6-6-2-1  time        4-1-1-5-5  trumpet     4-1-3-3-3  valid
3-6-6-2-2  tiny        4-1-1-5-6  trust       4-1-3-3-4  valley
3-6-6-2-3  tip         4-1-1-6-1  truth       4-1-3-3-5  valve
3-6-6-2-4  tired       4-1-1-6-2  try         4-1-3-3-6  van
3-6-6-2-5  tissue      4-1-1-6-3  tube        4-1-3-4-1  vanish
3-6-6-2-6  title       4-1-1-6-4  tuition     4-1-3-4-2  vapor
3-6-6-3-1  toast       4-1-1-6-5  tumble      4-1-3-4-3  various
3-6-6-3-2  tobacco     4-1-1-6-6  tuna        4-1-3-4-4  vast
3-6-6-3-3  today       4-1-2-1-1  tunnel      4-1-3-4-5  vault
3-6-6-3-4  toddler     4-1-2-1-2  turkey      4-1-3-4-6  vehicle
3-6-6-3-5  toe         4-1-2-1-3  turn        4-1-3-5-1  velvet
3-6-6-3-6  together    4-1-2-1-4  turtle      4-1-3-5-2  vendor
3-6-6-4-1  toilet      4-1-2-1-5  twelve      4-1-3-5-3  venture
3-6-6-4-2  token       4-1-2-1-6  twenty      4-1-3-5-4  venue
3-6-6-4-3  tomato      4-1-2-2-1  twice       4-1-3-5-5  verb
3-6-6-4-4  tomorrow    4-1-2-2-2  twin        4-1-3-5-6  verify
3-6-6-4-5  tone        4-1-2-2-3  twist       4-1-3-6-1  version
3-6-6-4-6  tongue      4-1-2-2-4  two         4-1-3-6-2  very
3-6-6-5-1  tonight     4-1-2-2-5  type        4-1-3-6-3  vessel
3-6-6-5-2  tool        4-1-2-2-6  typical     4-1-3-6-4  veteran
3-6-6-5-3  tooth       4-1-2-3-1  ugly        4-1-3-6-5  viable
3-6-6-5-4  top         4-1-2-3-2  umbrella    4-1-3-6-6  vibrant
3-6-6-5-5  topic       4-1-2-3-3  unable      4-1-4-1-1  vicious
3-6-6-5-6  topple      4-1-2-3-4  unaware     4-1-4-1-2  victory
3-6-6-6-1  torch       4-1-2-3-5  uncle       4-1-4-1-3  video
3-6-6-6-2  tornado     4-1-2-3-6  uncover     4-1-4-1-4  view
3-6-6-6-3  tortoise    4-1-2-4-1  under       4-1-4-1-5  village
3-6-6-6-4  toss        4-1-2-4-2  undo        4-1-4-1-6  vintage

BIP39 dice table -- throw 5d6, read left to right   page 24 of 45
1632 of 7776 throws say (reroll)  this page: 4-1-4-2-1 .. 4-2-2-6-6

4-1-4-2-1  violin      4-1-5-5-5  wine        4-2-1-3-3  actress
4-1-4-2-2  virtual     4-1-5-5-6  wing        4-2-1-3-4  actual
4-1-4-2-3  virus       4-1-5-6-1  wink        4-2-1-3-5  adapt
4-1-4-2-4  visa        4-1-5-6-2  winner      4-2-1-3-6  add
4-1-4-2-5  visit       4-1-5-6-3  winter      4-2-1-4-1  addict
4-1-4-2-6  visual      4-1-5-6-4  wire        4-2-1-4-2  address
4-1-4-3-1  vital       4-1-5-6-5  wisdom      4-2-1-4-3  adjust
4-1-4-3-2  vivid       4-1-5-6-6  wise        4-2-1-4-4  admit
4-1-4-3-3  vocal       4-1-6-1-1  wish        4-2-1-4-5  adult
4-1-4-3-4  voice       4-1-6-1-2  witness     4-2-1-4-6  advance
4-1-4-3-5  void        4-1-6-1-3  wolf        4-2-1-5-1  advice
4-1-4-3-6  volcano     4-1-6-1-4  woman       4-2-1-5-2  aerobic
4-1-4-4-1  volume      4-1-6-1-5  wonder      4-2-1-5-3  affair
4-1-4-4-2  vote        4-1-6-1-6  wood        4-2-1-5-4  afford
4-1-4-4-3  voyage      4-1-6-2-1  wool        4-2-1-5-5  afraid
4-1-4-4-4  wage        4-1-6-2-2  word        4-2-1-5-6  again
4-1-4-4-5  wagon       4-1-6-2-3  work        4-2-1-6-1  age
4-1-4-4-6  wait        4-1-6-2-4  world       4-2-1-6-2  agent
4-1-4-5-1  walk        4-1-6-2-5  worry       4-2-1-6-3  agree
4-1-4-5-2  wall        4-1-6-2-6  worth       4-2-1-6-4  ahead
4-1-4-5-3  walnut      4-1-6-3-1  wrap        4-2-1-6-5  aim
4-1-4-5-4  want        4-1-6-3-2  wreck       4-2-1-6-6  air
4-1-4-5-5  warfare     4-1-6-3-3  wrestle     4-2-2-1-1  airport
4-1-4-5-6  warm        4-1-6-3-4  wrist       4-2-2-1-2  aisle
